Call Number;Digitized by;Annotations 1: Named entities, dates, layout;Normalized date attributes (yyyy-mm-dd);Annotations 2: Sources of information;Annotations 3: Attribution;Place topic;Author;Short title;Full Provenance
1574_Antw_Ano2;DBNL;Yes;Yes;Yes;;Antwerpen;F.G.V.;Antwerpsch chronykje, in het welk zeer veele en elders te vergeefsch gezogte geschiedenissen sedert den jare 1500 tot het jaar 1574;F.G.V. Antwerpsch chronykje, in het welk zeer veele en elders te vergeefsch gezogte geschiedenissen sedert den jare 1500 tot het jaar 1574 zoo in die toen ... vermaarde koopstad als de andere steden van Nederland. Edited by Frans van Mieris and Gerard van Loon. Leyden: Pieter vander Eyk, 1743. https://www.dbnl.org/tekst/loon003antw01_01/.
1574_Antw_Haec;DBNL;Yes;Yes;Part;;Antwerpen;Haecht, Godevaert  van;De kroniek van Godevaert van Haecht over de troebelen van 1565 tot 1574 te Antwerpen en elders;Haecht, Godevaert. De Kroniek van Godevaert van Haecht over de Troebelen van 1565 Tot 1574 Te Antwerpen En Elders. Uitgaven van Het Genootschap Voor Antwerpsche Geschiedenis 2. Antwerpen, 1929. http://www.dbnl.org/tekst/haec002kron01_01/.
1575_Bosc_Anon;DBNL;No;No;No;;Den Bosch;Anoniem;"Kroniek eener kloosterzuster van het voormalig Bossche klooster ""Marie͏̈nburg"" over de troebelen te 's-Hertogenbosch e.e. in de jaren 1566-1575";"Alfen, H., red. Kroniek eener kloosterzuster van het voormalig Bossche klooster ‘Marie͏̈nburg’ over de troebelen te ’s-Hertogenbosch e.e. in de jaren 1566-1575. Uitgave van het Provinciaal Genootschap van Kunsten en Wetenschappen in Noord-Brabant ; [N.r., no. 27] 27. ’s Hertogenbosch, 1931. https://www.dbnl.org/tekst/_kro012kron01_01/index.php."
1575_Purm_Roll;Volunteers;No;No;No;No;Purmerend;Rol, Jacob Matthijszoon;"Origo civitatis Hornensis' over de jaren 1316-1536; 'Een cort verhael van 't geene in Hollant ende den omleggende plaetsen geschyet is over 1572-1575'";"Matthijsz. Rol, Jacob, Jan Buyes, Anonymus, Anonymus, en Jan Buyes. ‘“Origo civitatis Hornensis” over de jaren 1316-1536; ’Een cort verhael van “t geene in Hollant ende den omleggende plaetsen geschyet is over 1572-1575”, overgeschreven van Jacob Matthijsz. Rol, oud-burgemeester van Purmerend; “Brevissima Chronologia et Topographia Ecclesiarum et Conventuum civitatis Hoemensis” over de jaren 1330-1526, anoniem, eind 16e eeuw’. Hoorn, 1575. 176 Losse aanwinsten (verkregen tot 1984) van het Noord-Hollands Archief te Haarlem, 14.1.3.6., Inventarisnummer: 1540. Noord Hollands Archief Haarlem. http://noord-hollandsarchief.nl/bronnen/archieven?mivast=236&mizig=210&miadt=236&miaet=1&micode=176&minr=742232&miview=inv2."
1576_Utre_Anon;DBNL;Yes;Yes;No;;Utrecht;Anoniem;Utrechtse kroniek over 1566-1576;Anoniem. “Utrechtse kroniek over 1566-1576.” Edited by H. Brugmans. Bijdragen en Mededelingen van het Historisch Genootschap 25 (1904): 1–258.
1576_Zier_Clae;DBNL;Yes;Yes;No;;Zierikzee;Cornelis Claesz;Verhaal van het beleg voor Zierikzee (1575-1576) door Cornelis Claes;Claes, Cornelis. “Verhaal van Het Beleg Voor Zierikzee (1575-1576) Door Cornelis Claes.” Edited by J. Pot. Bijdragen En Mededeelingen van Het Historisch Genootschap, (Gevestigd Te Utrecht) 50 (1929): 107–40.
1577_Utre_Anon;DBNL;Yes;Yes;No;;Utrecht;Anoniem;Verhaal van het beleg van het kasteel Vredenburg te Utrecht in 1576, door eenen ooggetuige;Anoniem. “Verhaal van het beleg van het kasteel Vredenburg te Utrecht in 1576, door eenen ooggetuige.” Edited by Samuel Fzn Muller. Bijdragen en Mededelingen van het Historisch Genootschap 6 (1883): 147–216.
1579_Amst_Maes_01;DBNL;Yes;No;No;;Amsterdam;Maes, Wouter Jacobszoon;Dagboek van broeder Wouter Jacobsz (Gualtherus Jacobi Masius) prior van Stein : Amsterdam 1572-1578 en Montfoort 1578-1579. Deel 1;Jacobsz, Wouter. Dagboek van Broeder Wouter Jacobsz (Gualtherus Jacobi Masius) Prior van Stein : Amsterdam 1572-1578 En Montfoort 1578-1579. Deel 1. Edited by Isabelle Henriette van Eeghen. Vol. 1. 2 vols. Groningen: J. B. Wolters, 1959.
1579_Amst_Maes_02;DBNL;No;No;No;;Amsterdam;Maes, Wouter Jacobszoon;Dagboek van broeder Wouter Jacobsz (Gualtherus Jacobi Masius) prior van Stein : Amsterdam 1572-1578 en Montfoort 1578-1579. Deel 2;Jacobsz, Wouter. Dagboek van Broeder Wouter Jacobsz (Gualtherus Jacobi Masius) Prior van Stein : Amsterdam 1572-1578 En Montfoort 1578-1579. Deel 1. Edited by Isabelle Henriette van Eeghen. Vol. 2. 2 vols. Groningen: J. B. Wolters, 1959.
1579_Gent_Anon;Volunteers;No;No;No;;Gent;Anoniem;Kroniek der stad Gent, 1569-1579;Anoniem. “Kroniek Der Stad Gent, 1569-1579.” Gent, 1579. Boekentoren, BHSL.HS.3344. UB Gent. https://lib.ugent.be/nl/catalog/rug01:000836133?i=24&q=kroniek&type=manuscript.
1580_Antw_Wese;Volunteers;Yes;Yes;No;;Antwerpen;Wesenbeke, Jan  van;Chronyke van 1567 tot 1580;Wesenbeke, Jan van. “Chronyke van 1567 Tot 1580.” Antwerpen, 1580 1567. Pk. 108. Stadsarchief Antwerpen. https://felixarchief.antwerpen.be/archievenoverzicht/175687.
1581_Haar_Verw;DBNL;Yes;Yes;Part;;Haarlem;Verwer, Willem Janszoon;Memoriaelbouck. Dagboek van gebeurtenissen te Haarlem van 1572-1581;Verwer, Willem Janszoon. Memoriaelbouck. Dagboek van gebeurtenissen te Haarlem van 1572-1581. Edited by J.J. Temminck. Haarlem: Schuyt & Co, 1973. http://www.dbnl.nl/tekst/verw006memo01_01/index.htm.
1582_Stee_Steg;Volunteers;Yes;Yes;Yes;;Steenwijk;ter Stege, Zieger;Aentekening van verscheyden saken, welke in en omtrent Steenwijk sijn voorgevallen;Stege, Zieger ter. ‘Aentekening van verscheyden saken, welke in en omtrent Steenwijk sijn voorgevallen op het papier eertijds gestelt door Mr. Zijger ter Stege in sijn leven Secretaris deser Stadt Steenwijck’. Steenwijk, 1582. 0263  Vereeniging tot Beoefening van Overijsselsch Regt en Geschiedenis (VORG), handschriftenverzameling inv.nr. 947. Historisch Centrum Overijssel. https://proxy.archieven.nl/20/8C91FFAECD66489DAA141D13956B1118.
1583_Bilt_ErpH;DBNL;Yes;Yes;No;;De Bilt;Erp, Henrica  van en andere;Kroniek van Vrouwenklooster in De Bilt;Erp, Henrica van, Maria van Zuylen, en anoniem. ‘Kroniek van Vrouwenklooster in De Bilt’, 1583 1505. UBU 1254 (6 A 13). UB Utrecht. https://dbnl.nl/tekst/erp_003kron01_01/.
1584_Brug_Weyd;DBNL;Yes;Yes;Part;;Brugge;Weydts, Willem;Chronique Flamande 1571-1584;Weydts, Guillaume. Chronique Flamande 1571-1584. Edited by Emile-Charles Varenbergh. Brugge: Hoste Bruges : MoorLa Haye : Nijhoff, 2012. http://www.dbnl.org/tekst/weyd002chro01_01/index.php.
1587_Iepe_Anon;Volunteers;Yes;Yes;No;;Ieper;Raeve, Thomas de;Chronique d'Ypres, contenant le récit des évènements, qui s'y sont passés à l'époque des troubles religieux (1567- 1587);Anoniem. “Chronique d’Ypres, Contenant Le Récit Des Évènements, Qui s’y Sont Passés à l’époque Des Troubles Religieux (1567- 1587).” Ieper, 1587. Merghelynck 140. KB Brussel.
1587_Mech_Wach;Volunteers;No;No;No;;Mechelen;Wachtendonk, Jan van;"Kroniek van de stad Mechelen; 635-1474. Met aanvullingen tot 1587";"Wachtendonck, Jan van, en Anoniem. ‘Kroniek van de stad Mechelen; 635-1474. Met aanvullingen tot 1587’, 1587. 17 G 30. KB Den Haag. https://webggc.oclc.org/cbs/DB=2.37/XMLPRS=Y/PPN?PPN=310824303."
1587_Weer_Luyt;DBNL;Yes;Yes;No;;Weert;Luyten, Maria;Kronĳk uit het klooster Maria-Wĳngaard te Weert, 1442-1587;"Luyten, Maria. Kronĳk Uit Het Klooster Maria-Wĳngaard Te Weert, 1442-1587. Edited by Jos. Habets, Ch. Creemers, and A. Nieuwenhuizen. Weert / Gent: Weert : Stichting Historisch Onderzoek Weert ; Gent : Geschiedkundige Heruitgeverij, [2004], 2004. https://dbnl.nl/tekst/luyt013kron01_01/."
1589_Gron_Eppe;DBNL;No;No;No;;Groningen;Eppens, Abel;De kroniek van Abel Eppens tho Equart;"Eppens tho Equart, Abel. De kroniek van Abel Eppens tho Equart. Edited by J.A. Feith and H. Brugmans. Vol. 27; 28. 2 vols. Werken uitgegeven door het Historisch genootschap (gevestigd te Utrecht) 3. Amsterdam: J. Müller, 1911. https://www.dbnl.org/tekst/eppe004kron01_01/eppe004kron01_01_0046.php."
1592_Cule_Vrem;DBNL;Yes;Yes;No;;Culemborg;Vremdt, Gerard;Geschiedkundige aanteekeningen van Gerard Vremdt, notabel burger der stad Culemborg in de tweede helft van de zestiende eeuw;Vremdt, Gerard. “Geschiedkundige Aanteekeningen van Gerard Vremdt, Notabel Burger Der Stad Culemborg in de Tweede Helft van de Zestiende Eeuw.” Edited by P.J.W. Beltjes. Gelre. Bijdragen En Mededeelingen 44 (ca 1941): 149–74.
1593_Gent_Copp_01;Volunteers;No;No;No;;Gent;Coppens, Gillis;Kroniek van Gent, 1566-1593;Coppens, Gillis. ‘Kroniek van Gent, 1566-1593’. Gent, 1593. Boekentoren, BHSL.HS.0159  v.1, 2, 3. UB Gent.
1593_Gent_Copp_02;Volunteers;No;No;No;;Gent;Coppens, Gillis;Kroniek van Gent, 1566-1593;Coppens, Gillis. ‘Kroniek van Gent, 1566-1593’. Gent, 1593. Boekentoren, BHSL.HS.0159  v.1, 2, 3. UB Gent. https://lib.ugent.be/nl/catalog/rug01:000824716?i=19&q=kroniek&type=manuscript.
1593_Gent_Copp_03;Volunteers;No;No;No;;Gent;Coppens, Gillis;Kroniek van Gent, 1566-1593;Coppens, Gillis. ‘Kroniek van Gent, 1566-1593’. Gent, 1593. Boekentoren, BHSL.HS.0159  v.1, 2, 3. UB Gent. https://lib.ugent.be/nl/catalog/rug01:000824716?i=19&q=kroniek&type=manuscript.
1594_Gron_Alti;DBNL;No;No;No;;Groningen;Alting, Egbert;Diarium van Egbert Alting, 1553-1594;Alting, Egbert. Diarium van Egbert Alting, 1553-1594. Onder redactie van W.J. Formsma. Den Haag, 1964. https://resources.huygens.knaw.nl/retroboeken/diarium_alting/#page=0&accessor=toc&view=homePane
1594_Leuv_Boon;DBNL;No;No;No;;Leuven;Boonen, Willem;Geschiedenis van Leuven, geschreven in de jaren 1593 en 1594;Boonen, Willem. Geschiedenis van Leuven, geschreven in de jaren 1593 en 1594. Onder redactie van Gérard Edouard Van Even. Leuven: Vanbiessem, 1880. https://www.dbnl.org/tekst/boon124gesc01_01/.
1595_Iepe_Hern_01;Volunteers;Yes;Yes;No;;Ieper;Hernighem, Augustyn van;Beschrijving der stad Yper, deel 1;Hernighem, van, Augustyn. ‘Beschrijving der stad Yper, deel 1’, 1595. Fonds Goethals-Vercruysse, ms. 296. Rijksarchief te Kortrijk. https://www.dbnl.org/tekst/herm052eers01_01/.
1595_Iepe_Hern_02;Volunteers;Yes;No;No;;Ieper;Hernighem, Augustyn van;Beschrijving der stad Yper, deel 2;Hernighem, van, Augustyn. ‘Beschrijving der stad Yper, deel 2’, 1595. Fonds Goethals-Vercruysse, ms. 296. Rijksarchief te Kortrijk.
1595_Iepe_Hern_04;Volunteers;Yes;Yes;Part;;Ieper;Hernighem, Augustyn van;Kroniek van Vlaanderen en Brabant. 4: 1584-1587;Van Hernighem, Augustyn. “Kroniek van Vlaanderen En Brabant. 4: 1584-1587.” Ieper, 1587. Boekentoren, BHSL.HS.3700. UB Gent. https://lib.ugent.be/nl/catalog/rug01:000833029?i=30&q=kroniek&type=manuscript.
1595_Iepe_Hern_05;Volunteers;No;No;No;;Ieper;Hernighem, Augustyn van;Beschrijving der stad Yper, deel 5;Van Hernighem, Augustyn. “Beschrijving Der Stad Yper, Deel 5,” 1595. Fonds Goethals-Vercruysse, ms. 296. Rijksarchief te Kortrijk.
1595_Iepe_Hern_06;Volunteers;Yes;No;No;;Ieper;Hernighem, Augustyn van;Beschrijving der stad Yper, deel 6;Van Hernighem, Augustyn. “Beschrijving Der Stad Yper, Deel 6,” 1595. Fonds Goethals-Vercruysse, ms. 296. Rijksarchief te Kortrijk.
1595_Iepe_Hern_07;Volunteers;No;No;No;;Ieper;Hernighem, Augustyn van;Beschrijving der stad Yper, deel 7;Van Hernighem, Augustyn. “Beschrijving Der Stad Yper, Deel 7,” 1595. Fonds Goethals-Vercruysse, ms. 296. Rijksarchief te Kortrijk.
1602_Brus_Pott;DBNL;Yes;Yes;No;;Brussel;Pottre, Jan  de;Dagboek van Jan de Pottre, 1549-1602;Pottre, Jan de. Dagboek van Jan de Pottre, 1549-1602. Vol. 3rd series, 5. Maatschappij der Vlaamsche Bibliophilen. Gent: Annoot, 1861. http://www.dbnl.org/tekst/pott013dagb01_01/pott013dagb01_01_0003.php.
1606_Gron_Anon;DBNL;Yes;Yes;No;;Groningen;Anoniem;Kroniekje van een Ommelander boer in de zestiende eeuw;"Anoniem. Kroniekje van Een Ommelander Boer in de Zestiende Eeuw. Edited by W. Bergsma and E. H Waterbolk. Groningen: Wolters-Noordhoff ; Forsten, 1986."
1609_Bosc_Anon;Volunteers;Yes;Yes;No;;Den Bosch;Anoniem;Narratio rerum Silvaducessium;Anoniem. “Narratio rerum Silvaducessium.” Den Bosch, 1604. EK-A0046. Stadsarchief Den Bosch.
1609_Oist_Hoev;DBNL;Yes;Yes;No;;Oisterwijk;Hoevel, Lambrecht  van den;Plaatsbeschrijving van Oisterwijk met kroniek van de jaren 1566-1609;Hoevel, Lambrecht van den. “Plaatsbeschrijving van Oisterwijk Met Kroniek van de Jaren 1566-1609.” Edited by M. Pinkhof. Bijdragen En Mededelingen van Het Historisch Genootschap 40 (1919): 111–73.
1610_Gent_Vooc;Volunteers;No;No;No;;Gent;Voocht, Gillis  de;Verzameling teksten betreffende Vlaanderen en Gent;De Voocht, Gillis. “Verzameling Teksten Betreffende Vlaanderen En Gent.” Gent, 1610. BHSL.HS.0531. UB Gent.
1620_Midd_Rech;DBNL;No;No;No;;Middelburg;Joossen, Pieter;De kroniek van Pieter Joossen altijt recht hout;Rechthout, Pieter Joossen. “De Kroniek van Pieter Joossen Altijt Recht Hout.” Edited by R. Fruin. Archief. Mededelingen van Het Koninklijk Zeeuwsch Genootschap Der Wetenschappen, 1909, 65–96.
1621_Alkm_Anon;DBNL;Yes;Yes;Yes;;Alkmaar;Anoniem;Memorye. Kroniek van godsdienstige en politieke twisten in Alkmaar, 1618-1621;Anoniem. “Memorye. Kroniek van godsdienstige en politieke twisten in Alkmaar, 1618-1621.” Translated by Transcriptiewerkgroep Regionaal Archief Alkmaar. Alkmaar, 1621. Collectie Aanwinsten, inventarisnummer 150. Regionaal Archief Alkmaar. https://dbnl.nl/tekst/_mem002memo01_01/.
1623_Deve_Haex;Volunteers;No;No;No;;Deventer;Haexbergen, Hendrik;Memoriaal van de stadssecretaris Hendrik van Haexbergen, 1619-1623;Haexbergen, Hendrik. ‘Memoriaal van de stadssecretaris Hendrik van Haexbergen, 1619-1623’. 3. Deventer, 1623. 0691  Schepenen en Raad van de stad Deventer, periode Republiek (22600: 94-2). Stadsarchief Deventer. https://proxy.archieven.nl/20/1676824A92F04DF89CA50336DE5C872D.
1628_Alkm_Wijn;DBNL;Yes;Yes;Yes;;Alkmaar;Wijnkoper, Jacob Dirxz en andere;Kroniek van Wijnkoper;Wijnkoper, Jacob Dirxz, Jan Jakobsz Stoop, and Simon Eikelenburg. “Kroniek van Wijnkoper.” Translated by Transcriptiewerkgroep Regionaal Archief Alkmaar. Alkmaar, 1628. Inv.nr.  3 van de Collectie Aanwinsten. Regionaal Archief Alkmaar. https://dbnl.nl/tekst/wijn142kron01_01/.
1629_Doet_Duys;Volunteers;Yes;Yes;No;;Doetinchem;Duysborg, Matthijs  van;Kroniek van M. van Duysborg, koster te Doetinchem, 1527-1789. 1 deel;Duysborg, M. van. ‘Kroniek van M. van Duysborg, koster te Doetinchem, 1527-1789. 1 deel’. Doetinchem, 1789. 0508  Handschriften Rijksarchief in Gelderland, inv. nr. 209. Gelders Archief. https://permalink.geldersarchief.nl/7929963B211147A5B15E0618DA6D9323.
1632_Amer_Anon;DBNL;Yes;Yes;Part;;Amersfoort;Anoniem;Cronyk van Sint Aagten Convent : een oude kloosterkroniek uit de 15 - 17e eeuw;Boerwinkel, F., ed. Cronyk van Sint Aagten Convent : Een Oude Kloosterkroniek Uit de 15 - 17e Eeuw. Amersfoort, 1939. https://dbnl.nl/tekst/_cro002cron01_01/.
1632_Gent_Vive;DBNL;Yes;Yes;Part;;Gent;Jan van den Vivere en anoniem;Chronĳcke van Ghendt : handschrift deelmakende van het archief van Burchtgraaf Vilain XIIII te Bazel in 't licht gegev. door Frans de Potter;Vivere, Jan. Chronĳcke van Ghendt : handschrift deelmakende van het archief van Burchtgraaf Vilain XIIII te Bazel in ’t licht gegev. door Frans de Potter. Edited by Frans de Potter. Gent: Drukkerij S. Leliaert, A. Siffer & Cie, 1885. http://www.dbnl.org/tekst/vive004chro01_01/colofon.php.
1635_Utre_Jonk;DBNL;Yes;No;No;;Utrecht;Jonkgesel, Cornelis Cornelisz.;Utrechtsch Kronijkjen;Jonkgesel, Cornelis Cornelisz. “Utrechtsch Kronijkjen.” In Archief Voor Kerkelijke En Wereldsche Geschiedenissen, Inzonderheid van Utrecht, edited by Johannes Jacobus Dodt van Flensburg, VI:9-222 [125]. Utrecht: Altheer, 1848. https://dbnl.nl/tekst/dodt001arch07_01/.
1636_Bild_Jans;DBNL;No;No;No;;Het Bildt;Jansz, Dirck;Het aantekeningenboek van Dirck Jansz.;Jansz, Dirck. Het Aantekeningenboek van Dirck Jansz. Edited by Johannes Alle Faber, A. Vellema, Klaas Fokkema, Pieter Gerbenzon, and Rudolf Michel Dekker. Egodocumenten 5. Hilversum: Verloren, 1993.
1636_Hauw_Baer;Volunteers;No;No;No;;Hauwert;Baerntsz, Claes;Kort verhaal der gedenckwaerdijgste gheschiedenissen van Westvrieslant;Baerntsz, Claes. “Kort Verhaal Der Gedenckwaerdijgste Gheschiedenissen van Westvrieslant.” Hauwert, 1636. 176 Losse Aanwinsten (verkregen tot 1984) 1530. Noord Hollands Archief Haarlem. https://noord-hollandsarchief.nl/bronnen/archieven?mivast=236&mizig=210&miadt=236&miaet=1&micode=176&minr=742214&miview=inv2.
1638_Roer_Kamp_01;DBNL;No;No;No;;Roermond;Kampen, Johan en Jan van Ryckenroy;Kroniek der stad Roermond van 1562-1638;Kampen, Joh., and Jan van Ryckenroy. “Kroniek Der Stad Roermond van 1562-1638.” Publications de La Société Historique et Archéologique Dans Le Limbourg, Publications de la Société Historique et Archéologique dans le Limbourg, X (1873). https://www.dbnl.org/tekst/_jaa033187301_01/_jaa033187301_01_0037.php.
1638_Roer_Kamp_02;DBNL;No;No;No;;Roermond;Kampen, Johan en Jan van Ryckenroy;Kroniek der stad Roermond van 1562-1638;Kampen, Joh., en Jan van Ryckenroy. “Kroniek Der Stad Roermond van 1562-1638.” Publications de La Société Historique et Archéologique Dans Le Limbourg XII (1875): 249–386.
1643_Antw_Bate;Volunteers;Yes;Yes;Yes;;Antwerpen;Baten, G.;Oudheden 1510-1643;Anoniem. “Oudheden 1510-1643.” 3. Antwerpen, 1643. Pk. 113. Stadsarchief Antwerpen.
1646_Gron_Gijs;DBNL;Yes;Yes;No;;Groningen;Gijsbers, Tamme;Kroniek van Tamme Gijsbers;Gijsbers, Tamme. ‘Kroniek van Tamme Gijsbers’. Groningen, 1646. LTK 2293. Universiteitsbibliotheek Leiden. https://catalogue.leidenuniv.nl/permalink/31UKB_LEU/18s393l/alma990035521510302711.
1648_Rott_Anon;Volunteers;Yes;Yes;Yes;;Rotterdam;Anoniem;Kroniek van Rotterdam;Anoniem, en Jan Gerritsz Waerschut. ‘Kroniek van Rotterdam’. Rotterdam, 1648. 33.01  Handschriftenverzameling inv.nr. 1552. Stadsarchief Rotterdam. https://hdl.handle.net/21.12133/A71F3C6351DE457AB1B045E5FD04583A.
